Feature_ID,Mutual_Information,F_score,Feature_Importance,RFE_ranking,Feature_Labels
82,0.004869643485756248,0.13812878805872172,4.99453149987884e-05,162,x1_Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,
83,0.0009865328196594358,21.88596735989893,0.0020492869431582303,2,x1_Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,
84,0.0,0.8314341693553896,0.00020901084772222183,101,x1_Apache/2.4.25,
85,0.0,0.9706299284280625,0.00019255831352867243,66,x1_Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,
86,0.0,0.13812878805872172,2.2370860590038096e-05,230,x1_Apache/2.4.25 (Amazon) PHP/7.0.14,
87,0.006327001332972149,0.13812878805872172,1.3236023525361795e-06,216,x1_Apache/2.4.25 (Debian),
88,0.011151615208399912,0.13812878805872172,2.6307483125616827e-07,123,x1_Apache/2.4.25 (FreeBSD) OpenSSL/1.0.1s-freebsd PHP/5.6.30,
89,0.005666932393627588,0.13812878805872172,1.7874463173173567e-05,267,x1_Apache/2.4.25 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,
90,0.0007206023842185605,0.2764345508619133,3.426830168885317e-05,88,x1_Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,
91,0.0013349528063328897,0.2764345508619133,7.268357698956059e-06,143,x1_Apache/2.4.6,
92,0.0,1.2645751447662397,0.00033677127969615467,85,x1_Apache/2.4.6 (CentOS),
93,0.005207946252667517,0.13812878805872172,0.0,251,x1_Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips,
94,0.0,0.2764345508619133,1.3668269063784367e-05,212,x1_Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.4.16,
95,0.0,0.13812878805872172,5.6145461778539205e-06,250,x1_Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.4.16 mod_apreq2-20090110/2.8.0 mod_perl/2.0.10 Perl/v5.24.1,
96,0.0,0.5535783629191106,0.00012809146905415624,77,x1_Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.5.38,
97,0.0,0.13812878805872172,4.24891580595239e-06,248,x1_Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/7.0.14,
98,0.0,0.13812878805872172,0.0,268,x1_Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_jk/1.2.40,
99,0.0013026781610276927,0.13812878805872172,0.0,235,x1_Apache/2.4.6 (CentOS) PHP/5.6.8,
100,0.012959843115832204,0.13812878805872172,0.00010620910754876445,198,x1_Apache/2.4.6 (CentOS) mod_fcgid/2.3.9 PHP/5.6.30,
101,0.0015994336924807229,0.13812878805872172,8.190223225343147e-06,303,x1_Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 Communique/4.2.0,
102,0.002383020350008147,0.13812878805872172,1.5304816610671602e-07,237,x1_Apache/2.4.6 (Unix) mod_jk/1.2.37,
103,0.0,0.13812878805872172,3.5917936617972385e-08,156,x1_Apache/2.4.6 (Unix) mod_jk/1.2.37 PHP/5.5.1 OpenSSL/1.0.1g mod_fcgid/2.3.9,
104,0.0,1.8095762389163905,0.0004566985833656388,27,x1_Apache/2.4.7 (Ubuntu),
105,0.0,0.13812878805872172,0.0001535795791884096,107,x1_Apache/Not telling (Unix) AuthTDS/1.1,
106,0.0,0.13812878805872172,0.0,286,x1_Application-Server,
107,0.0031563453309590983,0.13812878805872172,8.267464813459648e-09,298,x1_Boston.com Frontend,
108,0.012263485721473621,0.13812878805872172,5.75212347654296e-07,282,x1_CherryPy/3.6.0,
109,0.0,0.13812878805872172,0.0,299,x1_Cowboy,
110,0.0024967311146970594,0.2764345508619133,4.10920243083929e-05,132,x1_DMS/1.0.42,
111,0.012586114418277283,1.2645751447662397,0.0008668962427081438,24,x1_DOSarrest,
112,0.012778197619218057,0.13812878805872172,0.0,215,x1_DPS/1.1.8,
113,0.0019931293519492854,0.13812878805872172,0.0,293,x1_ECD (fll/0790),
114,0.0,6.982893778360928,0.0005964839486689466,52,x1_GSE,
115,0.0,0.2764345508619133,6.308895789224842e-08,226,x1_HTTPDaemon,
116,0.0,0.13812878805872172,0.0,300,x1_Heptu web server,
117,0.009283531162493697,0.13812878805872172,5.976474932206161e-05,149,x1_IdeaWebServer/v0.80,
118,0.0,0.5535783629191106,5.415778511138846e-05,147,x1_Jetty(9.0.z-SNAPSHOT),
119,0.006112264489761543,0.13812878805872172,0.0,266,x1_KHL,
120,0.0,0.8314341693553896,7.278681232999233e-05,124,x1_LiteSpeed,
121,0.0,0.13812878805872172,8.310438543964311e-07,185,x1_MI,
122,0.0023111056111406736,0.13812878805872172,0.0,240,x1_MediaFire,
123,0.0019864199503598634,10.227289504461236,0.0024839273393042903,71,x1_Microsoft-HTTPAPI/2.0,
124,0.009193339259727873,74.52190462285245,0.009974828682790092,1,x1_Microsoft-IIS/6.0,
125,0.0034472091892057133,0.4149176287456223,1.7016826185660963e-05,97,x1_Microsoft-IIS/7.0,
